"","CHL1634.truncal","CHL1156.truncal","CHL1549.truncal","CHL1175.truncal","CHL684.truncal","CHL682.truncal","CHL683.truncal","CHL685.truncal","CHL1642.truncal","CHL1644.truncal","CHL1643.truncal","CHL1645.truncal","CHL1552.truncal","CHL1551.truncal","CHL644.truncal","CHL1553.truncal","CHL1227.truncal","CHL1225.truncal","CHL1229.truncal","CHL1228.truncal","CHL1226.truncal","CHL1786.truncal","CHL1787.truncal","CHL1788.truncal","CHL1784.truncal","CHL1789.truncal","CHL1823.truncal","CHL1825.truncal","CHL1824.truncal","CHL1533.truncal","CHL1536.truncal","CHL1646.truncal","CHL1534.truncal","CHL1535.truncal","CHL1841.truncal","CHL1842.truncal","CHL648.truncal","CHL1648.truncal","CHL1650.truncal","CHL1651.truncal","CHL1649.truncal","CHL1764.truncal","CHL1762.truncal","CHL1761.truncal","CHL1177.truncal","CHL671.truncal","CHL670.truncal","CHL672.truncal","CHL1820.truncal","CHL1822.truncal","CHL664.truncal","CHL666.truncal","CHL667.truncal","CHL665.truncal","CHL1619.truncal","CHL1617.truncal","CHL1618.truncal","CHL1623.truncal","CHL1624.truncal","CHL1625.truncal","CHL1546.truncal","CHL1547.truncal","CHL1545.truncal","CHL1811.truncal","CHL1812.truncal","CHL1810.truncal","CHL1809.truncal","CHL1795.truncal","CHL1801.truncal","CHL1636.truncal","CHL1638.truncal","CHL1639.truncal","CHL1807.truncal","CHL1813.truncal","CHL1622.truncal","CHL1621.truncal","CHL1843.truncal","CHL1541.truncal","CHL1543.truncal","CHL1540.truncal","CHL1542.truncal","CHL1539.truncal","CHL1147.truncal","CHL1556.truncal","CHL1149.truncal","CHL1148.truncal","CHL1555.truncal","CHL1152.truncal","CHL1151.truncal","CHL1150.truncal","CHL1821.truncal","CHL1634.branch","CHL1156.branch","CHL1549.branch","CHL1175.branch","CHL684.branch","CHL682.branch","CHL683.branch","CHL685.branch","CHL1642.branch","CHL1644.branch","CHL1643.branch","CHL1645.branch","CHL1552.branch","CHL1551.branch","CHL644.branch","CHL1553.branch","CHL1227.branch","CHL1225.branch","CHL1229.branch","CHL1228.branch","CHL1226.branch","CHL1786.branch","CHL1787.branch","CHL1788.branch","CHL1784.branch","CHL1789.branch","CHL1823.branch","CHL1825.branch","CHL1824.branch","CHL1533.branch","CHL1536.branch","CHL1646.branch","CHL1534.branch","CHL1535.branch","CHL1841.branch","CHL1842.branch","CHL648.branch","CHL1648.branch","CHL1650.branch","CHL1651.branch","CHL1649.branch","CHL1764.branch","CHL1762.branch","CHL1761.branch","CHL1177.branch","CHL671.branch","CHL670.branch","CHL672.branch","CHL1820.branch","CHL1822.branch","CHL664.branch","CHL666.branch","CHL667.branch","CHL665.branch","CHL1619.branch","CHL1617.branch","CHL1618.branch","CHL1623.branch","CHL1624.branch","CHL1625.branch","CHL1546.branch","CHL1547.branch","CHL1545.branch","CHL1811.branch","CHL1812.branch","CHL1810.branch","CHL1809.branch","CHL1795.branch","CHL1801.branch","CHL1636.branch","CHL1638.branch","CHL1639.branch","CHL1807.branch","CHL1813.branch","CHL1622.branch","CHL1621.branch","CHL1843.branch","CHL1541.branch","CHL1543.branch","CHL1540.branch","CHL1542.branch","CHL1539.branch","CHL1147.branch","CHL1556.branch","CHL1149.branch","CHL1148.branch","CHL1555.branch","CHL1152.branch","CHL1151.branch","CHL1150.branch","CHL1821.branch","CHL681.truncal","CHL693.truncal","CHL687.truncal","CHL1780.truncal","CHL1627.truncal","CHL1626.truncal","CHL1628.truncal","CHL1166.truncal","CHL659.truncal","CHL1167.truncal","CHL1165.truncal","CHL660.truncal","CHL658.truncal","CHL661.truncal","CHL1749.truncal","CHL1750.truncal","CHL1751.truncal","CHL1752.truncal","CHL1160.truncal","CHL1159.truncal","CHL653.truncal","CHL655.truncal","CHL654.truncal","CHL652.truncal","CHL1612.truncal","CHL1793.truncal","CHL1615.truncal","CHL1792.truncal","CHL1791.truncal","CHL1794.truncal","CHL1632.truncal","CHL1630.truncal","CHL1633.truncal","CHL1631.truncal","CHL1568.truncal","CHL1567.truncal","CHL1818.truncal","CHL1819.truncal","CHL1817.truncal","CHL691.truncal","CHL1158.truncal","CHL1157.truncal","CHL1779.truncal","CHL1782.truncal","CHL1781.truncal","CHL1161.truncal","CHL1765.truncal","CHL1759.truncal","CHL681.branch","CHL693.branch","CHL687.branch","CHL1780.branch","CHL1627.branch","CHL1626.branch","CHL1628.branch","CHL1166.branch","CHL659.branch","CHL1167.branch","CHL1165.branch","CHL660.branch","CHL658.branch","CHL661.branch","CHL1749.branch","CHL1750.branch","CHL1751.branch","CHL1752.branch","CHL1160.branch","CHL1159.branch","CHL653.branch","CHL655.branch","CHL654.branch","CHL652.branch","CHL1612.branch","CHL1793.branch","CHL1615.branch","CHL1792.branch","CHL1791.branch","CHL1794.branch","CHL1632.branch","CHL1630.branch","CHL1633.branch","CHL1631.branch","CHL1568.branch","CHL1567.branch","CHL1818.branch","CHL1819.branch","CHL1817.branch","CHL691.branch","CHL1158.branch","CHL1157.branch","CHL1779.branch","CHL1782.branch","CHL1781.branch","CHL1161.branch","CHL1765.branch","CHL1759.branch","CHL674.truncal","CHL657.truncal","CHL669.truncal","CHL1573.truncal","CHL1574.truncal","CHL1202.truncal","CHL1203.truncal","CHL1814.truncal","CHL1815.truncal","CHL1816.truncal","CHL634.truncal","CHL694.truncal","CHL695.truncal","CHL696.truncal","CHL646.truncal","CHL1753.truncal","CHL650.truncal","CHL1176.truncal","CHL1777.truncal","CHL1783.truncal","CHL1771.truncal","CHL1767.truncal","CHL1768.truncal","CHL1770.truncal","CHL1769.truncal","CHL1212.truncal","CHL1209.truncal","CHL1211.truncal","CHL1208.truncal","CHL1210.truncal","CHL679.truncal","CHL676.truncal","CHL677.truncal","CHL678.truncal","CHL674.branch","CHL657.branch","CHL669.branch","CHL1573.branch","CHL1574.branch","CHL1202.branch","CHL1203.branch","CHL1814.branch","CHL1815.branch","CHL1816.branch","CHL634.branch","CHL694.branch","CHL695.branch","CHL696.branch","CHL646.branch","CHL1753.branch","CHL650.branch","CHL1176.branch","CHL1777.branch","CHL1783.branch","CHL1771.branch","CHL1767.branch","CHL1768.branch","CHL1770.branch","CHL1769.branch","CHL1212.branch","CHL1209.branch","CHL1211.branch","CHL1208.branch","CHL1210.branch","CHL679.branch","CHL676.branch","CHL677.branch","CHL678.branch"
"SBS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,0,0,0,0,0,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,12,12,12,12,9,9,9,0,0,0,7,7,7,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,17,11,14,0,12,11,5,38,28,29,33,10,11,11,12,0,0,0,19,0,0,24,0,13,33,0,10,9,12,19,17,0,0,20,11,6,0,0,9,0,10,0,0,0,0,0,0,0,0,10,0,16,14,14,0,0,0,2,11,10,0,0,13,0,0,6,7,6,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,3,3,3,3,14,14,8,8,8,0,0,0,0,0,0,6,12,12,28,21,22,0,13,16,0,0,0,0,0,0,0,0,14,9,0,6,0,12,0,0,18,0,28,0,32,16,0,0,0,16,0,12,9,0,0,0,0,22,20,0,16,0,0,6,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS2",7,7,7,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,26,0,0,0,0,0,15,13,13,6,28,31,0,0,0,0,0,0,0,145,141,130,113,11,14,17,0,0,0,0,0,0,45,41,13,14,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,6,0,0,0,0,0,10,9,8,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,28,28,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,20,23,10,22,9,0,0,36,26,38,18,19,11,29,13,0,0,38,44,17,6,0,7,18,21,22,25,26,10,0,0,0,0,0,0,19,7,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,24,26,19,9,0,0,0,0,0,0,0,0,0
"SBS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,35,69,31,0,30,0,0,0,0,0,1153,1153,177,177,30,30,30,30,37,37,37,138,138,24,24,88,88,88,188,188,188,188,195,195,195,195,195,14,14,14,14,0,0,0,578,330,187,34,286,244,117,86,76,50,116,0,0,34,0,822,288,274,0,26,0,34,40,59,36,62,60,38,30,0,14
"SBS5",64,64,64,0,0,0,0,0,0,0,0,0,38,38,38,38,0,0,0,0,0,12,12,12,12,12,42,42,42,0,0,0,0,0,32,32,32,30,30,30,30,71,71,71,53,53,53,53,39,39,101,101,101,101,97,97,97,73,73,73,0,0,0,19,19,19,19,0,0,28,28,28,48,48,22,22,22,44,44,44,44,44,22,22,22,22,22,13,13,13,39,105,84,102,0,0,0,0,0,95,0,0,0,127,139,0,104,51,45,0,0,42,70,65,0,65,29,0,63,0,0,118,0,0,0,0,0,0,128,0,0,0,107,57,103,35,52,46,52,30,45,0,0,0,0,0,64,0,55,0,53,69,47,0,0,0,15,0,0,0,54,36,0,43,50,98,121,0,50,25,32,0,32,0,123,0,0,59,35,40,18,43,30,30,30,59,157,157,157,20,20,20,20,20,20,20,58,58,58,58,35,35,35,35,35,35,26,73,26,73,73,73,11,11,11,11,0,0,0,0,0,30,30,30,59,59,59,35,59,59,55,0,0,34,75,0,34,105,102,85,111,75,42,47,0,69,47,68,38,0,51,30,0,37,0,70,142,0,73,38,0,0,39,0,37,53,0,0,24,155,0,42,0,40,33,48,43,31,18,18,18,175,175,65,65,21,21,21,21,41,41,41,148,148,52,52,45,45,45,262,262,262,262,225,225,225,225,225,15,15,15,15,0,0,0,170,119,146,24,166,121,0,0,0,0,0,0,0,62,51,227,0,0,54,69,0,52,127,162,155,144,114,54,64,34,18
"SBS9",23,23,23,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS13",0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,52,11,20,0,0,0,0,0,9,0,0,0,53,49,0,28,0,0,0,0,0,87,80,79,76,17,0,14,0,0,0,0,0,0,32,39,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,26,26,26,26,14,14,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,11,18,10,15,0,0,0,41,54,40,19,16,12,30,25,0,8,0,37,0,0,0,0,10,17,26,18,27,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0,9,0,0,8,26,0,22,0,0,21,27,14,11,0,0,0,0,0,0,0,0,0
"SBS17a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS18",0,0,0,0,0,0,0,0,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,75,24,83,0,0,0,0,0,0,0,0,0,0,61,0,34,12,0,0,16,102,93,0,87,79,55,93,50,0,0,0,0,0,0,0,70,24,0,0,0,34,30,0,67,24,22,15,78,52,27,26,24,18,0,0,0,0,0,0,23,0,0,0,0,12,12,0,49,0,0,0,10,0,0,0,20,0,14,0,0,0,50,0,34,49,0,63,57,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,18,46,0,0,19,52,24,59,28,39,51,25,0,0,22,0,37,0,14,24,0,20,45,0,0,0,37,28,68,0,37,0,0,0,76,51,47,0,71,55,0,32,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,78,0,45,59,120,84,77,56,26,0,85,0,62,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"SBS28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS40",0,0,0,28,28,28,28,28,0,0,0,0,0,0,0,0,62,62,62,62,62,0,0,0,0,0,0,0,0,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,29,29,29,29,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,93,81,93,74,0,60,55,58,0,0,63,0,0,0,52,38,0,0,0,141,0,0,131,0,71,106,0,58,85,63,47,50,0,0,106,72,47,0,0,0,0,0,0,0,0,0,31,50,28,44,63,0,60,0,63,0,0,0,26,40,53,0,0,80,22,0,0,30,0,0,0,0,0,0,0,0,29,0,118,0,53,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,60,60,60,0,0,0,0,0,0,0,0,0,93,149,101,0,0,83,0,0,0,0,0,0,0,0,68,0,0,0,0,81,0,0,52,0,97,0,0,89,0,0,44,69,0,54,0,0,30,37,0,0,140,0,0,0,0,0,0,0,0,0,0,361,361,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,0,0,0,0,55,52,0,0,0,80,0,0,0,132,0,224,86,0,150,39,0,0,0,124,110,65,0,79,0,0,0,0,0,0,0,0,0,0
