"","TCGA-49-4501","TCGA-50-5935","TCGA-50-5944","TCGA-93-A4JP","TCGA-J2-8192","TCGA-71-8520","TCGA-97-8547","TCGA-44-3919","TCGA-55-1594","TCGA-86-8280","TCGA-05-4402","TCGA-62-8394","TCGA-73-7499","TCGA-62-A46U","TCGA-J2-A4AE","TCGA-50-6595","TCGA-95-8039","TCGA-55-7573","TCGA-49-AAQV","TCGA-86-8278","TCGA-62-8402","TCGA-71-6725","TCGA-62-8395","TCGA-67-3772","TCGA-95-8494","TCGA-86-6562","TCGA-38-6178","TCGA-86-8075","TCGA-69-7760","TCGA-44-2665","TCGA-75-6205","TCGA-86-A4P7","TCGA-91-6848","TCGA-50-6592","TCGA-86-7955","TCGA-67-6217","TCGA-86-8279","TCGA-L9-A5IP","TCGA-55-6987","TCGA-86-8585","TCGA-50-5066","TCGA-49-AAR9","TCGA-55-7727","TCGA-49-AAR3","TCGA-50-5068","TCGA-MN-A4N4","TCGA-55-6969","TCGA-49-4488","TCGA-91-6831","TCGA-MP-A4TJ","TCGA-55-8510","TCGA-55-5899","TCGA-55-7570","TCGA-86-8672","TCGA-55-8085","TCGA-55-8204","TCGA-05-5715","TCGA-50-6593","TCGA-67-3770","TCGA-49-AAR2","TCGA-50-5049","TCGA-50-5045","TCGA-86-8055","TCGA-MP-A4T6","TCGA-55-A48Z","TCGA-86-8074","TCGA-44-A47G","TCGA-91-6835","TCGA-75-5122","TCGA-49-6745","TCGA-MP-A4SW","TCGA-05-4434","TCGA-75-6207","TCGA-49-4490","TCGA-97-A4M1","TCGA-55-8096","TCGA-05-5423","TCGA-44-3396","TCGA-44-A4SU","TCGA-78-7147","TCGA-49-4494","TCGA-78-7155","TCGA-93-7348","TCGA-05-4422","TCGA-MP-A4T2","TCGA-49-4510","TCGA-55-7724","TCGA-93-A4JO","TCGA-95-7944","TCGA-73-4676","TCGA-35-4122","TCGA-78-7160","TCGA-73-4675","TCGA-MP-A4TE","TCGA-93-A4JN","TCGA-62-A471","TCGA-50-5942","TCGA-55-7726","TCGA-05-4425","TCGA-44-6775","TCGA-J2-A4AG","TCGA-05-4426","TCGA-78-7153","TCGA-MP-A4TH","TCGA-44-A47F","TCGA-50-5939","TCGA-80-5607","TCGA-78-7162","TCGA-69-7763","TCGA-97-A4M5","TCGA-44-A47B","TCGA-95-7948","TCGA-55-8620","TCGA-MP-A4TC","TCGA-44-7660","TCGA-J2-A4AD","TCGA-55-8507","TCGA-97-A4LX","TCGA-50-7109","TCGA-78-7149","TCGA-78-7154","TCGA-64-5775","TCGA-MP-A4SV","TCGA-NJ-A4YG","TCGA-55-A4DG","TCGA-49-4506","TCGA-95-7947","TCGA-55-8301","TCGA-05-4410","TCGA-55-8089","TCGA-55-7911","TCGA-S2-AA1A","TCGA-91-6829","TCGA-L9-A7SV","TCGA-L9-A443","TCGA-99-8032","TCGA-91-8499","TCGA-44-A4SS","TCGA-78-7156","TCGA-05-4430","TCGA-69-7980","TCGA-55-7907","TCGA-44-A47A","TCGA-69-7978","TCGA-49-4507","TCGA-91-7771","TCGA-44-6145","TCGA-49-4505","TCGA-62-8399","TCGA-55-8094","TCGA-83-5908","TCGA-64-5778","TCGA-44-6144","TCGA-55-8615","TCGA-05-4405","TCGA-49-4514","TCGA-44-6777","TCGA-78-7167","TCGA-05-4382","TCGA-97-8179","TCGA-55-A4DF","TCGA-NJ-A4YP","TCGA-55-7995","TCGA-62-A472","TCGA-80-5611","TCGA-78-7542","TCGA-64-1676","TCGA-49-AARQ","TCGA-44-3398","TCGA-44-2668","TCGA-55-6983","TCGA-55-8302","TCGA-55-8511","TCGA-05-4432","TCGA-78-7148","TCGA-44-2662","TCGA-05-4417","TCGA-73-4668","TCGA-MP-A4TA","TCGA-86-8673","TCGA-44-8117","TCGA-55-A493","TCGA-86-6851","TCGA-05-4249","TCGA-99-7458","TCGA-91-6836","TCGA-38-4625","TCGA-50-6590","TCGA-55-A48Y","TCGA-55-1596","TCGA-44-8119","TCGA-MP-A4T4","TCGA-44-7662","TCGA-75-7027","TCGA-53-7624","TCGA-44-7667","TCGA-MP-A4T7","TCGA-05-4424","TCGA-55-8208","TCGA-55-6985","TCGA-64-1677","TCGA-55-8203","TCGA-86-7711","TCGA-49-6743","TCGA-62-A46O","TCGA-86-8669","TCGA-05-4250","TCGA-99-AA5R","TCGA-78-8662","TCGA-78-8640","TCGA-O1-A52J","TCGA-44-6776","TCGA-95-A4VK","TCGA-64-5774","TCGA-55-A491","TCGA-78-7536","TCGA-86-7714","TCGA-95-A4VN","TCGA-L9-A743","TCGA-62-A46P","TCGA-97-8176","TCGA-50-5931","TCGA-64-5779","TCGA-38-4626","TCGA-38-4631","TCGA-75-6214","TCGA-55-8092","TCGA-78-7152","TCGA-44-7659","TCGA-NJ-A4YQ","TCGA-49-4487","TCGA-95-7043","TCGA-55-7913","TCGA-86-8073","TCGA-55-7903","TCGA-53-A4EZ","TCGA-97-7938","TCGA-97-8174","TCGA-75-5126","TCGA-55-8614","TCGA-69-8255","TCGA-62-A46S","TCGA-64-1679","TCGA-44-A479","TCGA-MP-A4TF","TCGA-69-8254","TCGA-MP-A4SY","TCGA-05-5425","TCGA-05-4244","TCGA-78-7166","TCGA-86-8674","TCGA-97-A4M3","TCGA-49-AAR0","TCGA-78-7150","TCGA-55-A48X","TCGA-86-8056","TCGA-86-8359","TCGA-55-A492","TCGA-53-7813","TCGA-35-5375","TCGA-49-AAR4","TCGA-MP-A4TI","TCGA-97-7937","TCGA-78-7220","TCGA-55-8097","TCGA-75-6211","TCGA-95-7039","TCGA-55-A490","TCGA-97-A4M0","TCGA-L4-A4E5","TCGA-50-5051","TCGA-44-2655","TCGA-73-4670","TCGA-69-7764","TCGA-69-7974","TCGA-05-5428","TCGA-97-7554","TCGA-97-7547","TCGA-49-6767","TCGA-91-A4BC","TCGA-44-8120","TCGA-NJ-A55O","TCGA-91-6849","TCGA-99-8028","TCGA-NJ-A4YF","TCGA-86-8281","TCGA-44-4112","TCGA-50-8457","TCGA-55-7728","TCGA-62-A470","TCGA-4B-A93V","TCGA-55-8621","TCGA-55-8205","TCGA-44-7670","TCGA-64-5815","TCGA-05-4415","TCGA-73-7498","TCGA-55-7994","TCGA-MP-A4TK","TCGA-69-7979","TCGA-78-7161","TCGA-97-7546","TCGA-75-5125","TCGA-78-7145","TCGA-69-A59K","TCGA-05-4418","TCGA-69-7973","TCGA-38-7271","TCGA-64-5781","TCGA-73-4658","TCGA-NJ-A55A","TCGA-62-A46R","TCGA-MP-A4T8","TCGA-50-5941","TCGA-44-2657","TCGA-44-2656","TCGA-97-7941","TCGA-44-7661","TCGA-78-7159","TCGA-49-6744","TCGA-44-5643","TCGA-J2-8194","TCGA-55-8299","TCGA-62-8398","TCGA-44-6774","TCGA-MP-A4TD","TCGA-44-7672","TCGA-86-8358","TCGA-93-8067","TCGA-75-6206","TCGA-55-8514","TCGA-44-7669","TCGA-97-8172","TCGA-78-7537","TCGA-35-4123","TCGA-44-3918","TCGA-99-8025","TCGA-05-4384","TCGA-95-A4VP","TCGA-44-5644","TCGA-44-3917","TCGA-55-7725","TCGA-50-5072","TCGA-55-7910","TCGA-44-6778","TCGA-05-4390","TCGA-44-6779","TCGA-49-AARE","TCGA-MP-A5C7","TCGA-L9-A8F4","TCGA-91-6830","TCGA-73-A9RS","TCGA-93-7347","TCGA-78-8660","TCGA-95-7562","TCGA-73-4662","TCGA-78-8655","TCGA-38-4632","TCGA-L9-A444","TCGA-50-8459","TCGA-86-8054","TCGA-86-7954","TCGA-05-4427","TCGA-69-8253","TCGA-55-A494","TCGA-78-7146","TCGA-75-7031","TCGA-55-7914","TCGA-55-7283","TCGA-NJ-A55R","TCGA-NJ-A4YI","TCGA-78-7539","TCGA-55-7574","TCGA-55-7284","TCGA-86-8076","TCGA-62-A46V","TCGA-50-5044","TCGA-86-7953","TCGA-67-3773","TCGA-73-4677","TCGA-55-7576","TCGA-75-5146","TCGA-67-3774","TCGA-67-4679","TCGA-55-8207","TCGA-55-8508","TCGA-49-AARO","TCGA-86-7713","TCGA-86-A4JF","TCGA-50-6594","TCGA-55-6642","TCGA-55-8090","TCGA-50-5946","TCGA-05-4403","TCGA-55-7815","TCGA-MN-A4N1","TCGA-50-5933","TCGA-55-6970","TCGA-35-3615","TCGA-44-7671","TCGA-50-5936","TCGA-91-6828","TCGA-99-8033","TCGA-49-AARN","TCGA-55-8616","TCGA-55-6975"
"SBS1",19,0,16,11,9,16,15,0,15,0,0,16,10,12,8,10,14,0,0,10,19,27,12,11,23,11,8,12,8,10,0,9,0,0,0,18,0,0,0,0,0,0,12,0,12,0,0,10,0,8,0,0,0,24,18,0,22,0,0,0,0,0,17,14,13,8,11,8,18,18,25,0,0,10,13,17,21,20,0,15,21,0,15,6,0,0,0,0,8,0,0,0,0,29,0,0,8,22,22,0,12,14,20,10,18,11,0,7,26,0,12,10,21,0,0,0,47,0,0,0,30,14,19,16,15,0,0,0,22,0,15,0,0,0,9,31,0,0,15,0,0,23,17,14,16,0,11,29,28,23,0,12,17,14,16,14,0,13,0,0,35,0,0,0,0,23,18,0,0,0,0,0,33,0,0,0,9,0,11,0,22,12,0,18,0,17,14,0,18,0,31,0,0,16,15,38,13,25,0,0,11,25,12,0,18,11,0,0,0,27,0,0,17,13,0,33,0,15,0,0,11,0,24,0,0,0,42,0,0,0,13,0,18,0,18,0,0,17,0,20,10,18,0,0,0,12,0,0,12,0,0,13,15,0,0,12,0,11,0,28,0,12,0,0,24,0,31,0,0,0,0,0,0,0,0,19,15,11,0,17,0,9,0,0,0,13,20,5,19,18,0,0,0,37,12,0,0,0,0,55,18,0,11,0,31,0,0,0,36,18,0,16,7,0,21,0,12,0,16,0,16,17,0,7,0,8,0,43,14,0,27,0,24,0,0,0,25,0,0,0,0,0,13,18,0,25,17,0,0,0,0,0,0,0,18,14,12,0,0,9,15,16,40,14,35,22,13,15,34,0,0,19,0,21,15,17,0,0,0,0,29,0,0,15,16,15,0,0,209,0,0,0,0,17,12,40,19,0,9,0,0,20,18,0,28,8
"SBS2",12,29,0,18,0,7,11,0,37,0,43,13,0,0,0,24,14,0,16,53,0,0,0,0,43,12,13,0,0,11,0,10,33,28,16,0,0,13,32,46,14,0,69,0,0,209,0,17,0,0,12,62,31,27,59,41,39,0,0,0,0,0,0,9,0,0,12,0,18,49,9,0,0,7,5,0,12,44,0,28,7,67,9,17,15,0,15,0,119,0,16,0,0,0,8,46,0,28,0,0,0,0,13,0,12,16,61,6,0,74,0,74,0,16,0,48,0,0,0,47,61,0,62,23,0,0,126,0,76,214,0,0,22,0,0,16,49,24,98,0,69,101,35,79,27,14,0,10,95,0,29,25,0,0,0,70,58,21,116,0,300,243,52,0,0,34,0,53,25,36,0,0,50,0,0,74,0,0,0,23,15,53,31,14,0,13,71,87,190,0,0,18,38,0,84,0,0,51,94,0,38,0,23,117,77,0,29,0,42,52,0,0,0,0,14,0,0,20,28,0,30,0,8,0,0,102,119,54,0,0,22,26,22,54,14,0,17,0,93,0,22,13,22,10,0,0,0,0,0,11,27,18,15,80,18,95,9,0,0,9,75,98,0,79,7,0,28,66,31,9,0,0,18,0,0,84,0,23,14,0,17,6,10,0,11,12,52,0,0,0,8,0,77,80,0,0,0,31,36,37,0,0,20,0,29,0,10,13,95,91,0,20,0,10,25,0,10,26,8,0,16,0,0,5,0,0,10,0,265,0,0,0,0,13,0,32,71,0,0,18,0,0,15,0,0,0,9,56,0,27,113,42,0,27,0,0,0,18,14,0,0,24,20,17,0,59,0,0,28,0,13,126,62,0,9,0,55,0,0,13,0,9,0,0,0,11,17,0,54,24,0,0,62,0,0,0,28,0,32,0,32,0,0,132,0,0
"SBS3",0,0,0,43,0,0,0,0,101,0,0,0,0,0,0,77,88,0,0,0,0,0,0,0,38,35,53,0,0,0,0,0,0,0,0,0,0,0,0,106,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,149,0,0,0,0,0,67,0,85,0,53,0,0,0,0,0,62,0,0,0,59,0,0,32,0,0,48,0,0,0,111,54,0,92,0,0,0,42,0,0,51,0,60,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,75,0,0,0,0,0,0,0,134,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,132,164,86,408,248,132,284,165,582,115,65,43,1088,374,221,153,42,261,283,207,160,105,68,0,212,154,345,685,288,0,0,0,0,0,0,0,0,0,0,0,0,0,71,90,63,76,191,149,1280,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,207,173,74,737,137,171,32,48,399,116,62,566,59,187,156,943,731,127,92,385,1503,132,271,131,298,170,250,469,953,70,379,109,101,278,144,235,317,111,408,124,51,271,182,249,48,1258,137,98,121,453,16,77,267,569,594,101,288,64,531,359,431,145,44,274,388,233,346,648,168,757,241,391,487,489,632,0,81,400,319,412,185,584,293,107,584,79,374,68,386,113,414,616,68,206,43,843,371,116,160,202,116,260,534,38,387,57,173,53,198,256,212,694,441,226,82,93,1029,224,856,257,1204,67,431,290,92,427,68,128,64,345,264,329,30,63,439,154,182,236,134,70,131,321,84,124,202,107,181,303,74,269,649,56,245,1040,957,286,287,74,176,226,28,327,230,369,96,402,387,532,145,95,416,439,178,378,26,101,54,90,32,262,844,143,179,68,1259,268,1374,108,212,61,153,445,162,173,49,907,172,90,87,64,302,340,671,64,246,285,212,52,79,159,36,299,38,138,845,74,37,203,314,183,108,142,702,232,78,86,725,138,95,84,257,309,465,57,1082,23,554,64,709,83,85,377,138,66,391,491,58,135,108,708,110,160,257,104,84,97,187,294,131,101,0,0,0,0,0,58,98,242,177,69,220,234,115,566,114,204,441,112,51,402,72,102,292,363,141,54,115,28,180,73,285,456,40
"SBS5",44,71,0,0,83,69,36,53,0,53,63,0,54,0,46,0,0,0,49,34,0,0,65,68,0,0,0,50,78,47,62,44,277,153,166,0,197,85,69,107,66,206,71,100,65,317,89,0,187,65,85,136,166,0,81,115,0,163,107,102,152,57,0,57,0,0,0,0,0,62,0,54,57,46,0,0,0,67,107,173,0,404,0,0,82,55,146,54,0,89,152,0,73,0,88,68,0,0,33,69,0,0,51,0,0,0,44,0,0,36,29,22,220,89,260,157,0,76,135,67,133,142,0,69,179,75,219,158,254,228,0,42,222,202,0,0,148,216,61,96,263,195,80,151,72,119,0,0,140,0,80,117,0,0,168,82,140,48,0,66,0,77,256,54,170,0,142,160,90,81,70,202,0,294,138,58,88,153,180,190,178,70,215,100,189,105,95,231,81,141,151,122,201,0,230,0,0,179,157,155,84,106,99,318,263,89,165,0,317,175,91,96,86,39,158,0,51,0,49,74,70,154,0,0,202,230,0,67,86,320,0,194,103,313,72,199,144,74,177,186,165,59,0,90,183,53,128,221,90,74,79,0,0,210,91,72,64,141,72,0,0,62,146,253,55,121,177,0,131,112,67,49,184,81,179,0,169,53,162,119,179,0,37,121,0,96,97,34,0,73,63,53,171,0,54,66,71,481,94,0,0,104,80,81,92,165,42,19,0,88,57,84,75,153,107,241,27,70,84,77,65,91,101,56,74,50,53,165,76,53,0,228,106,51,0,174,173,82,71,239,106,59,0,91,178,0,41,342,72,251,44,0,61,122,56,0,53,222,150,45,0,112,0,0,75,89,121,92,96,125,158,138,75,36,0,0,46,63,60,0,94,54,76,0,108,72,0,80,1098,133,50,62,245,82,64,0,145,75,30,120,60,0,0,0,86,52
"SBS9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0
"SBS13",0,24,0,11,0,12,8,16,36,0,51,29,19,0,8,12,0,0,23,46,0,0,11,0,26,16,0,0,0,0,0,23,65,37,13,0,0,0,52,75,0,0,44,0,0,206,0,0,0,0,24,52,69,18,54,41,52,0,0,11,0,12,0,13,0,0,11,0,13,44,0,5,8,9,0,0,0,50,0,24,0,63,0,0,12,0,17,12,124,0,20,0,0,0,0,34,0,48,0,0,0,0,14,0,0,0,53,0,0,60,0,76,0,0,32,115,0,0,0,51,59,11,63,23,31,0,112,21,81,224,0,0,28,35,0,0,55,44,75,10,128,134,65,130,21,15,0,0,147,0,66,0,0,0,19,63,45,21,94,0,323,182,54,0,0,0,0,51,33,31,0,0,20,17,0,93,0,0,19,23,23,29,105,19,0,16,64,126,157,0,0,15,44,0,82,0,0,78,106,0,58,0,34,102,82,0,25,0,45,70,0,0,0,0,19,0,0,19,31,0,25,13,0,0,18,105,36,52,0,0,33,39,24,51,11,15,36,20,106,20,18,0,23,0,15,0,23,35,0,0,12,15,0,79,19,75,0,0,0,17,52,67,17,52,0,13,33,53,40,0,0,0,0,0,24,51,0,37,24,17,0,0,0,0,0,28,58,0,0,0,0,0,125,91,0,0,0,57,31,59,0,14,31,14,20,0,0,32,53,70,0,0,0,26,25,0,9,45,0,0,13,0,0,0,0,0,0,0,239,13,0,0,0,0,0,62,85,0,0,35,21,0,0,0,0,0,0,44,0,41,117,33,0,20,0,0,0,15,0,0,0,25,22,11,11,65,22,14,37,0,0,193,89,0,14,0,67,0,0,0,0,0,0,0,14,0,22,0,59,32,0,0,90,0,0,14,18,0,19,0,22,14,0,0,15,6
"SBS17a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
"SBS17b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
"SBS18",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,19,92,0,0,51,0,0,0,0,0,18,46,0,0,47,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,57,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,33,0,0,87,0,0,0,0,196,0,122,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,103,0,0,64,0,215,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,152,0,0,0,158,0,0,0,0,0,0,0,102,0,72,0,136,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,72,0,0,42,0,0,0,0,0,0
